# 번호	슬러그	파일	표시폭	표시높이	원본폭	원본높이	톤	무엇을 찍은 사진인가
001	clinic-i	hero-wall.jpg	1440	900	1920	1200	warm	한의원 대기실 벽 — 따뜻한 원목 루버 패널과 마른 나뭇가지 오브제, 사람 없음 (갈색 곱하기 덮개가 얹힌다)
002	clinic-i	hero-doctor.jpg	1440	900	1920	1200	warm	원목 벽 앞 스툴에 앉은 30대 한의사 전신, 흰 가운 · 청록 스크럽, 화면 오른쪽 1/3 에 인물, 왼쪽은 비워 둔다
003	clinic-i	diff-1.jpg	430	620	860	1240	warm	진료실에서 초음파 프로브를 쥐고 화면을 보는 한의사 옆모습
004	clinic-i	diff-2.jpg	430	620	860	1240	warm	체성분 측정기 옆에서 상담 차트를 짚어 주는 한의사, 환자 뒷모습
005	clinic-i	diff-3.jpg	430	620	860	1240	warm	책상에서 논문·차트를 검토하는 한의사 상반신, 창가 자연광
006	clinic-i	diff-4.jpg	430	620	860	1240	warm	남색 한약 파우치 한 봉이 베이지 석재 받침 위에 놓인 제품 연출컷
007	clinic-i	proof-bg.jpg	1440	1152	1920	1536	light	아이보리 실크 천이 부드럽게 접힌 추상 배경, 밝고 채도 낮게
008	clinic-i	mri-1-a.jpg	292	180	584	360	dark	허리 MRI 시상면 — 치료 전 (디스크 탈출 부위를 붉은 원으로 표시)
009	clinic-i	mri-1-b.jpg	292	180	584	360	dark	허리 MRI 시상면 — 치료 후 (같은 부위 노란 원)
010	clinic-i	mri-2-a.jpg	292	180	584	360	dark	요추 MRI 축상면 — 치료 전
011	clinic-i	mri-2-b.jpg	292	180	584	360	dark	요추 MRI 축상면 — 치료 후
012	clinic-i	mri-3-a.jpg	292	180	584	360	dark	척추 전장 X-ray 정면 — 측만 곡선이 보이는 치료 전
013	clinic-i	mri-3-b.jpg	292	180	584	360	dark	척추 전장 X-ray 정면 — 곧게 정렬된 치료 후
014	clinic-i	diet-bg.jpg	1440	1000	1920	1334	dark	짙은 원목 복도, 천장 간접조명, 사람 없음
015	clinic-i	diet-1-a.jpg	186	300	372	600	light	회색 배경, 검정 민소매 여성 몸통(목 아래~허벅지) 정면 — 전
016	clinic-i	diet-1-b.jpg	186	300	372	600	light	같은 구도 — 후 (허리선이 조금 들어간 모습)
017	clinic-i	diet-2-a.jpg	186	300	372	600	light	회색 배경, 검정 크롭탑 여성 몸통 정면 — 전
018	clinic-i	diet-2-b.jpg	186	300	372	600	light	같은 구도 — 후
019	clinic-i	diet-3-a.jpg	186	300	372	600	light	회색 배경, 회색 민소매 여성 몸통 정면 — 전
020	clinic-i	diet-3-b.jpg	186	300	372	600	light	같은 구도 — 후
021	clinic-i	diet-4-a.jpg	186	300	372	600	light	회색 배경, 네이비 민소매 여성 몸통 정면 — 전
022	clinic-i	diet-4-b.jpg	186	300	372	600	light	같은 구도 — 후
023	clinic-i	promise-bg-1.jpg	1440	900	1920	1200	dark	흰 가운 가슴 이름표 클로즈업, 얕은 심도
024	clinic-i	promise-bg-2.jpg	1440	900	1920	1200	dark	밝게 웃는 여성 환자와 상담 중인 장면, 흐림 처리할 배경용
025	clinic-i	promise-bg-3.jpg	1440	900	1920	1200	dark	베드에 누운 환자 허리에 두 손을 얹은 추나 시술 손 클로즈업
026	clinic-i	promise-1.jpg	384	384	768	768	warm	남색 배경, 팔짱 낀 한의사 상반신 (원형으로 잘린다)
027	clinic-i	promise-2.jpg	384	384	768	768	warm	밝은 상담실에서 웃는 여성 환자 상반신 (원형)
028	clinic-i	promise-3.jpg	384	384	768	768	warm	장비를 점검하며 고개 숙인 한의사 (원형)
029	clinic-i	special-bg.jpg	1440	900	1920	1200	dark	어두운 갈색 톤, 오래된 회중시계 문자판 클로즈업
030	clinic-i	special-portrait.jpg	468	634	936	1268	light	밝은 회색 벽 앞, 팔짱 낀 대표원장 상반신 정면
031	clinic-i	tour-film.jpg	1340	666	2680	1332	warm	한의원 로비 전경 파노라마 — 곡선 소파, 석재 데스크
032	clinic-i	tour-1.jpg	1280	580	2560	1160	warm	접수 데스크와 로고 벽
033	clinic-i	tour-2.jpg	1280	580	2560	1160	warm	대기 라운지 곡선 소파
034	clinic-i	tour-3.jpg	1280	580	2560	1160	warm	원장 진료실
035	clinic-i	tour-4.jpg	1280	580	2560	1160	warm	추나 치료실 (베드 2대)
036	clinic-i	tour-5.jpg	1280	580	2560	1160	warm	침 치료실 커튼 부스 복도
037	clinic-i	tour-6.jpg	1280	580	2560	1160	warm	탕전실 · 한약 조제 공간
038	clinic-i	tour-7.jpg	1280	580	2560	1160	warm	체성분 · 초음파 검사실
039	clinic-i	tour-8.jpg	1280	580	2560	1160	warm	파우더룸 · 탈의 공간
040	clinic-i	story-1.jpg	140	77	280	154	light	멍 설명 영상 썸네일 — 한의사가 팔 모형을 가리키는 장면
041	clinic-i	story-2.jpg	140	77	280	154	light	골반 모형을 든 한의사
042	clinic-i	story-3.jpg	140	77	280	154	light	책상에서 설명하는 한의사
043	clinic-i	story-4.jpg	140	77	280	154	light	교통사고 설명 — 목 보호대 모형
044	clinic-i	story-5.jpg	140	77	280	154	light	추나 베드 앞 한의사
045	clinic-i	story-6.jpg	140	77	280	154	light	상담실 모니터 앞 한의사
046	clinic-i	story-7.jpg	140	77	280	154	light	발목 모형 설명
047	clinic-i	story-8.jpg	140	77	280	154	light	허리 모형 설명
