# 늘숲(NEULSOOP) — 번호	슬러그	파일	표시w	표시h	생성w	생성h	설명 (톤: 같은 칸 레퍼런스 사진 평균 밝기 → 자리표시 밝기, 0~255)
n1	neulsoop	hero-1.jpg	1440	900	2400	1500	메인 히어로 슬라이드 — 숲길 계단 난간 너머로 보이는 나뭇가지 · 톤 66→66
n2	neulsoop	hero-2.jpg	1440	900	2400	1500	메인 히어로 슬라이드 — 새벽 안개가 낀 늘숲 전경 · 톤 79→79
n3	neulsoop	hero-3.jpg	1440	900	2400	1500	메인 히어로 슬라이드 — 객실 창가 너머 초록 정원 · 톤 70→70
n4	neulsoop	hero-4.jpg	1440	900	2400	1500	메인 히어로 슬라이드 — 저녁 조명이 켜진 라운지 · 톤 146→146
n5	neulsoop	wo-main.jpg	670	640	1340	1280	What's On 대표 카드 — 피크닉 바구니와 책, 과일 · 톤 135→134
n6	neulsoop	wo-1.jpg	472	184	944	368	What's On 소식 — 텃밭 채소 샐러드 한 그릇 · 톤 152→151
n7	neulsoop	wo-2.jpg	472	184	944	368	What's On 소식 — 로비 갤러리 전시 관람객 · 톤 134→133
n8	neulsoop	walk-1.jpg	384	466	768	932	Stay, walk, eat 카드 — 숲속 베이커리 카페의 커피잔 · 톤 172→170
n9	neulsoop	walk-2.jpg	384	466	768	932	Stay, walk, eat 카드 — 서가가 둘러싼 북라운지 · 톤 78→78
n10	neulsoop	walk-3.jpg	384	466	768	932	Stay, walk, eat 카드 — 리넨·도자기 리빙 편집숍 · 톤 142→141
n11	neulsoop	rest-1.jpg	600	400	1200	800	Rest in Excellence 슬라이드 — 우드톤 라운지 소파 · 톤 68→68
n12	neulsoop	rest-2.jpg	600	400	1200	800	Rest in Excellence 슬라이드 — 낮은 조명의 티 룸 · 톤 98→98
n13	neulsoop	rest-3.jpg	600	400	1200	800	Rest in Excellence 슬라이드 — 창가 다이닝 테이블 · 톤 47→47
n14	neulsoop	rest-4.jpg	600	400	1200	800	Rest in Excellence 슬라이드 — 숲이 보이는 욕조 · 톤 100→100
n15	neulsoop	rest-5.jpg	600	400	1200	800	Rest in Excellence 슬라이드 — 테라스 데크 체어 · 톤 60→60
n16	neulsoop	new-1.jpg	570	358	1140	716	New to Neulsoop — 꽃 설치 작품이 놓인 숲길 입구 · 톤 152→151
n17	neulsoop	cta-banner.jpg	1440	140	2400	233	하단 띠 배너 — 유리창에 비친 나무 그림자 · 톤 76→76
n18	neulsoop	kv-about.jpg	1440	900	2400	1500	브랜드 소개 KV — 숲에 둘러싸인 늘숲 건물 외관 · 톤 62→61
n19	neulsoop	connect-map.jpg	789	592	1578	1184	브랜드 소개 Connectivity — 주변 권역 일러스트 지도 자리 · 톤 80→80
n20	neulsoop	loc-1.jpg	1440	390	2400	650	브랜드 소개 Location 띠 — 아침 숲 산책로 · 톤 78→78
n21	neulsoop	loc-2.jpg	1440	390	2400	650	브랜드 소개 Location 띠 — 계곡 물가 쉼터 · 톤 58→58
n22	neulsoop	loc-3.jpg	1440	390	2400	650	브랜드 소개 Location 띠 — 나무 사이 햇살 · 톤 71→71
n23	neulsoop	loc-4.jpg	1440	390	2400	650	브랜드 소개 Location 띠 — 조용한 서재 라운지 · 톤 81→81
n24	neulsoop	kv-whatson.jpg	1440	900	2400	1500	What's On KV — 숲길을 걷는 사람들 · 톤 66→66
n25	neulsoop	story-1.jpg	729	504	1458	1008	늘숲 이야기 슬라이드 — 텃밭 채소 샐러드 · 톤 152→151
n26	neulsoop	story-2.jpg	729	504	1458	1008	늘숲 이야기 슬라이드 — 주말 플리마켓 · 톤 120→119
n27	neulsoop	story-3.jpg	729	504	1458	1008	늘숲 이야기 슬라이드 — 아이와 함께하는 숲 도서관 · 톤 132→132
n28	neulsoop	story-4.jpg	729	504	1458	1008	늘숲 이야기 슬라이드 — 요가 클래스 · 톤 77→77
n29	neulsoop	event-1.jpg	387	260	774	520	이벤트 카드 — 와인 페어링 디너 테이블 · 톤 51→51
n30	neulsoop	event-2.jpg	387	260	774	520	이벤트 카드 — 화덕 피자와 타코 · 톤 93→94
n31	neulsoop	event-3.jpg	387	260	774	520	이벤트 카드 — 숲속 요가 매트 · 톤 51→51
n32	neulsoop	event-4.jpg	387	260	774	520	이벤트 카드 — 가을 플리마켓 좌판 · 톤 93→94
n33	neulsoop	event-5.jpg	387	260	774	520	이벤트 카드 — 아이 숲 체험 · 톤 51→51
n34	neulsoop	event-6.jpg	387	260	774	520	이벤트 카드 — 피크닉 세트 · 톤 93→94
n35	neulsoop	kv-lifestyle.jpg	1440	900	2400	1500	Lifestyle KV — 어두운 우드 파티션과 빛 · 톤 27→26
n36	neulsoop	brand-01.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 1 · 톤 150→149
n37	neulsoop	brand-02.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 2 · 톤 140→139
n38	neulsoop	brand-03.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 3 · 톤 96→96
n39	neulsoop	brand-04.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 4 · 톤 153→152
n40	neulsoop	brand-05.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 5 · 톤 78→79
n41	neulsoop	brand-06.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 6 · 톤 77→77
n42	neulsoop	brand-07.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 7 · 톤 127→126
n43	neulsoop	brand-08.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 8 · 톤 116→115
n44	neulsoop	brand-09.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 9 · 톤 145→144
n45	neulsoop	brand-10.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 10 · 톤 101→102
n46	neulsoop	brand-11.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 11 · 톤 182→180
n47	neulsoop	brand-12.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 12 · 톤 104→105
n48	neulsoop	brand-13.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 13 · 톤 172→170
n49	neulsoop	brand-14.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 14 · 톤 193→191
n50	neulsoop	brand-15.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 15 · 톤 82→83
n51	neulsoop	brand-16.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 16 · 톤 106→107
n52	neulsoop	brand-17.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 17 · 톤 123→121
n53	neulsoop	brand-18.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 18 · 톤 126→125
n54	neulsoop	brand-19.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 19 · 톤 121→120
n55	neulsoop	brand-20.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 20 · 톤 176→175
n56	neulsoop	brand-21.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 21 · 톤 97→98
n57	neulsoop	brand-22.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 22 · 톤 125→124
n58	neulsoop	brand-23.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 23 · 톤 116→115
n59	neulsoop	brand-24.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 24 · 톤 127→126
n60	neulsoop	brand-25.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 25 · 톤 138→136
n61	neulsoop	brand-26.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 26 · 톤 199→198
n62	neulsoop	brand-27.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 27 · 톤 142→141
n63	neulsoop	brand-28.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 28 · 톤 71→71
n64	neulsoop	brand-29.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 29 · 톤 130→129
n65	neulsoop	brand-30.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 30 · 톤 164→162
n66	neulsoop	brand-31.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 31 · 톤 123→122
n67	neulsoop	brand-32.jpg	285	345	570	690	Lifestyle 입점 브랜드 카드 32 · 톤 33→33
n68	neulsoop	ls-event-1.jpg	604	405	1208	810	Lifestyle 이벤트 — 와인 페어링 디너 테이블 · 톤 51→51
n69	neulsoop	ls-event-2.jpg	604	405	1208	810	Lifestyle 이벤트 — 화덕 피자와 타코 · 톤 93→94
n70	neulsoop	kv-stay.jpg	1440	900	2400	1500	Stay KV — 라운지 의자와 스탠드 조명 · 톤 65→64
n71	neulsoop	room-1.jpg	500	600	1000	1200	객실 타입 패널 — Forest 룸 — 창 너머 숲 · 톤 137→136
n72	neulsoop	room-2.jpg	500	600	1000	1200	객실 타입 패널 — Moss 룸 — 우드 서가 · 톤 58→58
n73	neulsoop	room-3.jpg	500	600	1000	1200	객실 타입 패널 — Stream 룸 — 넓은 테이블 · 톤 102→102
n74	neulsoop	room-4.jpg	500	600	1000	1200	객실 타입 패널 — Canopy 룸 — 벽면 아트 · 톤 89→89
n75	neulsoop	room-5.jpg	500	600	1000	1200	객실 타입 패널 — Nest 룸 — 라운지 체어 · 톤 39→39
