# 담화재(damhwa) — 번호	슬러그	파일	표시w	표시h	생성w	생성h	설명
d1	damhwa	intro.jpg	1440	900	2400	1500	메인 인트로 배경 — 새벽 운무가 깔린 산 능선과 옅은 노을, 전체 화면 · 명암: 레퍼런스 같은 칸 사진 평균 86
d2	damhwa	intro-cloud-1.png	1440	763	2400	1272	인트로 구름 레이어 1(투명 PNG) — 화면 위쪽을 덮는 흰 구름, 스크롤 전 걷힘 연출
d3	damhwa	intro-cloud-2.png	1440	763	2400	1272	인트로 구름 레이어 2(투명 PNG) — 화면 아래쪽 흰 구름
d4	damhwa	hero.jpg	1440	900	2400	1500	메인 첫 화면 영상 포스터 — 한옥 처마 아래 마당과 산 풍경(영상 대체 이미지) · 명암: 레퍼런스 같은 칸 사진 평균 86
d5	damhwa	main-slide-1.jpg	1260	700	2400	1333	메인 슬라이드 1 — 창호 너머 좌식 다실과 찻상 · 명암: 레퍼런스 같은 칸 사진 평균 85
d6	damhwa	main-slide-2.jpg	1260	700	2400	1333	메인 슬라이드 2 — 한옥 중정과 디딤돌 · 명암: 레퍼런스 같은 칸 사진 평균 90
d7	damhwa	main-slide-3.jpg	1260	700	2400	1333	메인 슬라이드 3 — 객실 침실, 한지 조명 · 명암: 레퍼런스 같은 칸 사진 평균 113
d8	damhwa	main-slide-4.jpg	1260	700	2400	1333	메인 슬라이드 4 — 노천 욕조와 개별 정원 · 명암: 레퍼런스 같은 칸 사진 평균 144
d9	damhwa	main-slide-5.jpg	1260	700	2400	1333	메인 슬라이드 5 — 기와 지붕 위로 번지는 저녁 노을 · 명암: 레퍼런스 같은 칸 사진 평균 84
d10	damhwa	main-slide-6.jpg	1260	700	2400	1333	메인 슬라이드 6 — 달항아리가 놓인 복도 · 명암: 레퍼런스 같은 칸 사진 평균 91
d11	damhwa	mount-1.png	843	498	1686	996	수묵 산 실루엣 장식 1(투명 PNG, opacity .5로 겹침)
d12	damhwa	mount-2.png	1704	563	2400	793	수묵 산 실루엣 장식 2 — 가로로 긴 능선(투명 PNG)
d13	damhwa	mount-3.png	843	498	1686	996	수묵 산 실루엣 장식 3(투명 PNG)
d14	damhwa	special-1.jpg	323	500	646	1000	스페셜 1 온욕 — 김이 오르는 탕(원본은 영상 → 포스터) · 명암: 레퍼런스 같은 칸 사진 평균 75
d15	damhwa	special-2.jpg	323	500	646	1000	스페셜 2 다례 — 찻잔과 다구(원본은 영상 → 포스터) · 명암: 레퍼런스 같은 칸 사진 평균 65
d16	damhwa	special-3.jpg	323	500	646	1000	스페셜 3 계절 밥상 — 제철 한상 차림 · 명암: 레퍼런스 같은 칸 사진 평균 65
d17	damhwa	special-4.jpg	323	500	646	1000	스페셜 4 달빛 산책 — 등불이 놓인 돌길 · 명암: 레퍼런스 같은 칸 사진 평균 57
d18	damhwa	special-5.jpg	323	500	646	1000	스페셜 5 기념품 — 보자기에 싼 선물(원본은 영상 → 포스터) · 명암: 레퍼런스 같은 칸 사진 평균 77
d19	damhwa	special-6.jpg	323	500	646	1000	스페셜 6 계곡 — 맑은 물과 숲 · 명암: 레퍼런스 같은 칸 사진 평균 163
d20	damhwa	special-7.jpg	323	500	646	1000	스페셜 7 어메니티 — 천연 비누와 수건 · 명암: 레퍼런스 같은 칸 사진 평균 96
d21	damhwa	room-bg.jpg	1440	840	2400	1400	객실 미리보기 배경 — 얇은 커튼에 드리운 빛(어둡게 60% 덮개) · 명암: 레퍼런스 같은 칸 사진 평균 188
d22	damhwa	room-hover-1.jpg	360	840	720	1680	객실 미리보기 호버 1 — 청연 객실 세로 컷 · 명암: 레퍼런스 같은 칸 사진 평균 139
d23	damhwa	room-hover-2.jpg	360	840	720	1680	객실 미리보기 호버 2 — 청연 패밀리 세로 컷 · 명암: 레퍼런스 같은 칸 사진 평균 103
d24	damhwa	room-hover-3.jpg	360	840	720	1680	객실 미리보기 호버 3 — 소월 세로 컷 · 명암: 레퍼런스 같은 칸 사진 평균 107
d25	damhwa	room-hover-4.jpg	360	840	720	1680	객실 미리보기 호버 4 — 운경 세로 컷 · 명암: 레퍼런스 같은 칸 사진 평균 127
d26	damhwa	room-bg-m.jpg	331	259	662	518	모바일 객실 미리보기 상단 이미지 — 커튼과 빛 · 명암: 레퍼런스 같은 칸 사진 평균 107
d27	damhwa	story-1.jpg	360	240	720	480	메인 하단 소개 슬라이드 1 — 달항아리 정물 · 명암: 레퍼런스 같은 칸 사진 평균 90
d28	damhwa	story-2.jpg	360	240	720	480	메인 하단 소개 슬라이드 2 — 창호 그림자 · 명암: 레퍼런스 같은 칸 사진 평균 75
d29	damhwa	story-3.jpg	360	240	720	480	메인 하단 소개 슬라이드 3 — 툇마루와 정원 · 명암: 레퍼런스 같은 칸 사진 평균 77
d30	damhwa	footer-bg.jpg	1440	1080	2400	1800	푸터 배경 — 해 질 녘 조명이 켜진 한옥 전경(위쪽은 흐린 하늘) · 명암: 레퍼런스 같은 칸 사진 평균 81
